D57.219,,Sickle-cell/Hb-C disease with crisis, unspecified
D57.3,,Sickle-cell trait
D57.40,,Sickle-cell thalassemia without crisis
D57.411,,Sickle-cell thalassemia, unspecified, with acute chest syndrome
D57.412,,Sickle-cell thalassemia, unspecified, with splenic sequestration
D57.413,,Sickle-cell thalassemia, unspecified, with cerebral vascular involvement
D57.414,,Sickle-cell thalassemia, unspecified, with dactylitis (Effective 10/01/2023)
D57.418,,Sickle-cell thalassemia, unspecified, with crisis with other specified complication
D57.419,,Sickle-cell thalassemia, unspecified, with crisis
D57.42,,Sickle-cell thalassemia beta zero without crisis
D57.431,,Sickle-cell thalassemia beta zero with acute chest syndrome
D57.432,,Sickle-cell thalassemia beta zero with splenic sequestration
D57.433,,Sickle-cell thalassemia beta zero with cerebral vascular involvement
D54.434,,Sickle-cell thalassemia beta zero with dactylitis (Effective 10/01/2023)
D57.438,,Sickle-cell thalassemia beta zero with crisis with other specified complication
D57.439,,Sickle-cell thalassemia beta zero with crisis, unspecified
D57.44,,Sickle-cell thalassemia beta plus without crisis
D57.451,,Sickle-cell thalassemia beta plus with acute chest syndrome
D57.452,,Sickle-cell thalassemia beta plus with splenic sequestration
D57.453,,Sickle-cell thalassemia beta plus with cerebral vascular involvement
D57.454,,Sickle-cell thalassemia beta plus with dactylitis (Effective 10/01/2023)
D57.458,,Sickle-cell thalassemia beta plus with crisis with other specified complication
D57.459,,Sickle-cell thalassemia beta plus with crisis, unspecified
D57.80,,Other sickle-cell disorders without crisis
D57.811,,Other sickle-cell disorders with acute chest syndrome
D57.812,,Other sickle-cell disorders with splenic sequestration
D57.813,,Other sickle-cell disorders with cerebral vascular involvement
D57.814,,Other sickle-cell disorders with dactylitis (Effective 10/01/2023)
D57.818,,Other sickle-cell disorders with crisis with other specified complication
D57.819,,Other sickle-cell disorders with crisis, unspecified
D58.0,,Hereditary spherocytosis
D58.1,,Hereditary elliptocytosis
D58.9,,Hereditary hemolytic anemia, unspecified
D59.0,,Drug-induced autoimmune hemolytic anemia
D59.10,,Autoimmune hemolytic anemia, unspecified
D59.11,,Warm autoimmune hemolytic anemia
D59.12,,Cold autoimmune hemolytic anemia
D59.13,,Mixed type autoimmune hemolytic anemia
D59.19,,Other autoimmune hemolytic anemia
D59.9,,Acquired hemolytic anemia, unspecified
D60.0,,Chronic acquired pure red cell aplasia
D60.1,,Transient acquired pure red cell aplasia
D60.8,,Other acquired pure red cell aplasias
D60.9,,Acquired pure red cell aplasia, unspecified
D61.01,,Constitutional (pure) red blood cell aplasia
D61.02,,Shwachman-Diamond syndrome (Effective 10/01/2023)
D61.09,,Other constitutional aplastic anemia
D61.1,,Drug-induced aplastic anemia
D61.2,,Aplastic anemia due to other external agents
D61.3,,Idiopathic aplastic anemia
D61.89,,Other specified aplastic anemias and other bone marrow failure syndromes
D63.0,,Anemia in neoplastic disease
D63.1,,Anemia in chronic kidney disease
D63.8,,Anemia in other chronic diseases classified elsewhere
D64.0,,Hereditary sideroblastic anemia
D64.1,,Secondary sideroblastic anemia due to disease
D64.2,,Secondary sideroblastic anemia due to drugs and toxins
D64.3,,Other sideroblastic anemias
D64.4,,Congenital dyserythropoietic anemia
D64.89,,Other specified anemias
Z85.72,,Personal history of non-Hodgkin lymphomas
